Ano;Semestre;Cód. Disciplina;Cód. Turma;Situação;%;Alunos;Professor;Cód. Curso;Curso;center
2022;1. Semestre;D402855;CC;Aprovado;48;26;C888148218402;307;Ciência da Computação - Bacharelado;D402855
2022;1. Semestre;D402855;CC;Aprovado;48;26;C292200218642;307;Ciência da Computação - Bacharelado;D402855
2022;1. Semestre;D402855;CC;Reprovado;2;1;C888148218402;307;Ciência da Computação - Bacharelado;D402855
2022;1. Semestre;D402855;CC;Reprovado;2;1;C292200218642;307;Ciência da Computação - Bacharelado;D402855
2022;1. Semestre;D402855;SI1;Aprovado;50;3;I200380893402;314;Bacharelado em Sistemas de Informação;D402855
2022;1. Semestre;D402855;SI1;Aprovado;50;3;E380148200148;314;Bacharelado em Sistemas de Informação;D402855
2022;2. Semestre;D402855;CC;Aprovado;56;10;C946200380402;307;Ciência da Computação - Bacharelado;D402855
2022;2. Semestre;D402855;CC;Repr.Freq;28;5;C946200380402;307;Ciência da Computação - Bacharelado;D402855
2022;2. Semestre;D402855;CC;Reprovado;17;3;C946200380402;307;Ciência da Computação - Bacharelado;D402855
2022;2. Semestre;D402855;SI;Aprovado;33;28;I200380893402;314;Bacharelado em Sistemas de Informação;D402855
2022;2. Semestre;D402855;SI;Aprovado;33;28;C200380893402;314;Bacharelado em Sistemas de Informação;D402855
2022;2. Semestre;D402855;SI;Reprovado;17;14;I200380893402;314;Bacharelado em Sistemas de Informação;D402855
2022;2. Semestre;D402855;SI;Reprovado;17;14;C200380893402;314;Bacharelado em Sistemas de Informação;D402855
